Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H5,2018,2018,2018,2,0,1,Import,31,Azerbaijan,AZE,56,Belgium,BEL,01,Animals; live,1,No Quantity,0,0,127053,0
H5,2018,2018,2018,2,0,1,Import,31,Azerbaijan,AZE,40,Austria,AUT,01,Animals; live,1,No Quantity,0,0,4908979,0
H5,2018,2018,2018,2,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,01,Animals; live,1,No Quantity,0,0,393066,0
H5,2018,2018,2018,2,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,01,Animals; live,1,No Quantity,0,0,57547654,0
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,894,Zambia,ZMB,01,Animals; live,1,No Quantity,0,0,70793,0
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,842,USA,USA,01,Animals; live,1,No Quantity,0,0,2586,0
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,842,USA,USA,01,Animals; live,1,No Quantity,0,0,9823,4
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,834,United Rep. of Tanzania,TZA,01,Animals; live,1,No Quantity,0,0,2377,0
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,826,United Kingdom,GBR,01,Animals; live,1,No Quantity,0,0,615,0
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,826,United Kingdom,GBR,01,Animals; live,1,No Quantity,0,0,334,0
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,784,United Arab Emirates,ARE,01,Animals; live,1,No Quantity,0,0,506,0
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,716,Zimbabwe,ZWE,01,Animals; live,1,No Quantity,0,0,357,0
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,710,South Africa,ZAF,01,Animals; live,1,No Quantity,0,0,508,0
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,710,South Africa,ZAF,01,Animals; live,1,No Quantity,0,0,1157574,4
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,678,Sao Tome and Principe,STP,01,Animals; live,1,No Quantity,0,0,69,0
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,643,Russian Federation,RUS,01,Animals; live,1,No Quantity,0,0,40000,0
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,643,Russian Federation,RUS,01,Animals; live,1,No Quantity,0,,200,4
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,642,Romania,ROU,01,Animals; live,1,No Quantity,0,,1489,4
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,620,Portugal,PRT,01,Animals; live,1,No Quantity,0,0,2837,0
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,620,Portugal,PRT,01,Animals; live,1,No Quantity,0,0,772156,4
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,566,Nigeria,NGA,01,Animals; live,1,No Quantity,0,0,495,0
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,528,Netherlands,NLD,01,Animals; live,1,No Quantity,0,0,1861267,0
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,516,Namibia,NAM,01,Animals; live,1,No Quantity,0,,345,4
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,516,Namibia,NAM,01,Animals; live,1,No Quantity,0,0,3870370,4
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,508,Mozambique,MOZ,01,Animals; live,1,No Quantity,0,0,80,0
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,504,Morocco,MAR,01,Animals; live,1,No Quantity,0,0,122760,0
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,422,Lebanon,LBN,01,Animals; live,1,No Quantity,0,0,114,0
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,404,Kenya,KEN,01,Animals; live,1,No Quantity,0,0,940,0
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,376,Israel,ISR,01,Animals; live,1,No Quantity,0,0,28475,0
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,251,France,FRA,01,Animals; live,1,No Quantity,0,0,4862,0
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,192,Cuba,CUB,01,Animals; live,1,No Quantity,0,0,2641,4
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,180,Dem. Rep. of the Congo,COD,01,Animals; live,1,No Quantity,0,0,8598,0
